Speaker ID,Text_en,Text_ortho,Sent ID,Sound Url
Sp3,I heard that it's an Ibo dish.,I hear sey na Ibo soup.,ABJ_GWA_02_Market-Food-Church_DG__36,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Uhuh?,Ehn?,ABJ_GWA_02_Market-Food-Church_DG__37,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Uhuh?,Ehn?,ABJ_GWA_02_Market-Food-Church_DG__38,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Ehn!,Ehn!,ABJ_GWA_02_Market-Food-Church_DG__39,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,I know you'll like it.,I know sey you go like am.,ABJ_GWA_02_Market-Food-Church_DG__40,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Teach me too.,Teach me too now.,ABJ_GWA_02_Market-Food-Church_DG__41,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Hope you know banga soup?,Shebi you know banga soup?,ABJ_GWA_02_Market-Food-Church_DG__42,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,I know banga soup.,I know banga soup.,ABJ_GWA_02_Market-Food-Church_DG__43,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Ehn... it's the soup.,Ehn na di soup.,ABJ_GWA_02_Market-Food-Church_DG__44,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Okay!,Okay!,ABJ_GWA_02_Market-Food-Church_DG__45,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"So, it's like I'll come so you and I can do it.","So it's like I go come, me, and you go, go do am.",ABJ_GWA_02_Market-Food-Church_DG__46,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Okay!,Okay!,ABJ_GWA_02_Market-Food-Church_DG__47,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,The dish will be good.,Di soup go make sense.,ABJ_GWA_02_Market-Food-Church_DG__48,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,You'll like it a lot.,"You go like am well, well.",ABJ_GWA_02_Market-Food-Church_DG__49,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Okay!,Okay!,ABJ_GWA_02_Market-Food-Church_DG__50,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Or should I give it to you?,Abi meh I give you.,ABJ_GWA_02_Market-Food-Church_DG__51,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,So...,So...,ABJ_GWA_02_Market-Food-Church_DG__52,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Like can you tell me how they...,Like you fit tell me how de take dey...,ABJ_GWA_02_Market-Food-Church_DG__53,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Do you know how they prepare the dish?,You know how de take dey cook di soup?,ABJ_GWA_02_Market-Food-Church_DG__54,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"Ah, my sister... my younger sister taught me how they cook it.","Ah my sister, my junior sister bin teach me how de take dey cook am o.",ABJ_GWA_02_Market-Food-Church_DG__55,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Can you tell me a little?,You fit tell me small?,ABJ_GWA_02_Market-Food-Church_DG__56,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,She said...,E say...,ABJ_GWA_02_Market-Food-Church_DG__57,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,She said you'll parboil the banga.,Eh e say you go parboil di banga.,ABJ_GWA_02_Market-Food-Church_DG__58,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Uhuh.,Ehen.,ABJ_GWA_02_Market-Food-Church_DG__59,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"After you've parboiled it, then you'll pound it.","After you parboil am, you go come pound am.",ABJ_GWA_02_Market-Food-Church_DG__60,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Yes?,Yes?,ABJ_GWA_02_Market-Food-Church_DG__61,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"When you pound it, you filter it.","When you pound am, you filter am.",ABJ_GWA_02_Market-Food-Church_DG__62,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"Then, you add your ingredients.",Den you put eh your ingredient inside.,ABJ_GWA_02_Market-Food-Church_DG__63,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,That's how my sister taught me.,"Na so my teacher, my sister take teach me.",ABJ_GWA_02_Market-Food-Church_DG__64,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Okay.,Okay na so.,ABJ_GWA_02_Market-Food-Church_DG__65,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,You like...,You dey like...,ABJ_GWA_02_Market-Food-Church_DG__66,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,You ch-... which... as in which food... like what do you eat it with?,"You ch-... which, as in which food, like which swallow you dey use like to eat am?",ABJ_GWA_02_Market-Food-Church_DG__67,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"Hey! My sister, I like...","Hey my sister, I dey like...",ABJ_GWA_02_Market-Food-Church_DG__68,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Is it starch or eba?,"Na starch, or na eba?",ABJ_GWA_02_Market-Food-Church_DG__69,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,I like starch a lot.,"I dey like starch well, well.",ABJ_GWA_02_Market-Food-Church_DG__70,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"Oh, good!",Oh confirm!,ABJ_GWA_02_Market-Food-Church_DG__71,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"Starch hm, starch is what I like.","Starch hm, na starch I dey like.",ABJ_GWA_02_Market-Food-Church_DG__72,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,haha.,Hehe.,ABJ_GWA_02_Market-Food-Church_DG__73,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,F-... starch is what goes well with it.,Na f-... na starch dey go well.,ABJ_GWA_02_Market-Food-Church_DG__74,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"Uh, that's what I like the most.",Ehn na dat one I dey like pass.,ABJ_GWA_02_Market-Food-Church_DG__75,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Okay now!,Okay now!,ABJ_GWA_02_Market-Food-Church_DG__76,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Alright.,Toh.,ABJ_GWA_02_Market-Food-Church_DG__77,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"This morning, what did you eat before you came here?","Dis morning, wetin you eat before you come here?",ABJ_GWA_02_Market-Food-Church_DG__78,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"Ah, my sister, well, I ate eba!","Ah my sister o, mtschew toh I eat eba o!",ABJ_GWA_02_Market-Food-Church_DG__79,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Hey eba?,Hey eba?,ABJ_GWA_02_Market-Food-Church_DG__80,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"Hehe, why didn't you drink tea?",Hehe why you no drink tea?,ABJ_GWA_02_Market-Food-Church_DG__81,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"Hm, my sister, I don't really like tea.","Hm my sister, I no dey too like tea.",ABJ_GWA_02_Market-Food-Church_DG__82,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Okay.,Okay.,ABJ_GWA_02_Market-Food-Church_DG__83,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Who now?,Who sha?,ABJ_GWA_02_Market-Food-Church_DG__84,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Swallow is what I like the most.,Na swallow I like pass.,ABJ_GWA_02_Market-Food-Church_DG__85,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,What did you eat before you went to bed?,Okay wetin you eat before you sleep for di night?,ABJ_GWA_02_Market-Food-Church_DG__86,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"Ah, well, my sister, I just ate a litle rice.","Ah well my sister, I just take small rice.",ABJ_GWA_02_Market-Food-Church_DG__87,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Okay.,Okay.,ABJ_GWA_02_Market-Food-Church_DG__88,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Hm.,Hm.,ABJ_GWA_02_Market-Food-Church_DG__89,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,I hope the rice was tasty?,Hope sey di rice sweet sha?,ABJ_GWA_02_Market-Food-Church_DG__90,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"It was tasty, aha!",E sweet aha!,ABJ_GWA_02_Market-Food-Church_DG__91,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Okay.,Okay.,ABJ_GWA_02_Market-Food-Church_DG__92,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"So, any, any news?","So, any, any news?",ABJ_GWA_02_Market-Food-Church_DG__93,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Did you hear any news about this place?,You hear any news for area?,ABJ_GWA_02_Market-Food-Church_DG__94,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Ah! My sis-...,Ah my sis-...,ABJ_GWA_02_Market-Food-Church_DG__95,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"Concerning this NEPA issue of ours, I heard that they said they want to come and disconnect the power tomorrow.","Concerning dis our NEPA issue, I bin hear sey de say de wan come cut light tomorrow.",ABJ_GWA_02_Market-Food-Church_DG__96,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"My sister, that is how I heard it.","My sister, na so I hear am o.",ABJ_GWA_02_Market-Food-Church_DG__97,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"They said, they want to come and disconnect the power tomorrow.",De say de wan come cut light tomorrow.,ABJ_GWA_02_Market-Food-Church_DG__98,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Please!,Abeg o!,ABJ_GWA_02_Market-Food-Church_DG__99,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,They shouldn't come because we are tired of them!,Make dese people no come o because we don tire for dem!,ABJ_GWA_02_Market-Food-Church_DG__100,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"Even me, I don't have money to pay.","Me masef, I no even get money to pay.",ABJ_GWA_02_Market-Food-Church_DG__101,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,This is a problem.,Hey dis one na wahala o.,ABJ_GWA_02_Market-Food-Church_DG__102,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"That everywhere is dry, there is no money.","Dis one wey everywhere dry, no money.",ABJ_GWA_02_Market-Food-Church_DG__103,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,I just pray that they don't come.,I just pray make dem no come.,ABJ_GWA_02_Market-Food-Church_DG__104,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"Ah, please!",Ah abeg o!,ABJ_GWA_02_Market-Food-Church_DG__105,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Don't let them come!,Make dem no come!,ABJ_GWA_02_Market-Food-Church_DG__106,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"Because if they come, it means it's the whole area that will have their lights disconnected.","Because if de come, dat means na all di whole area dem go cut deir light o.",ABJ_GWA_02_Market-Food-Church_DG__107,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,That's it.,Na so.,ABJ_GWA_02_Market-Food-Church_DG__108,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Because people don't have money.,"Because people no, no money.",ABJ_GWA_02_Market-Food-Church_DG__109,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Because there is no money.,Because no money.,ABJ_GWA_02_Market-Food-Church_DG__110,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,And we don't see any light.,And we no dey see light.,ABJ_GWA_02_Market-Food-Church_DG__111,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,At all.,At all!,ABJ_GWA_02_Market-Food-Church_DG__112,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Please!,Ah abeg kai!,ABJ_GWA_02_Market-Food-Church_DG__113,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Hm NEPA should not try us.,Hm meh NEPA no try us o!,ABJ_GWA_02_Market-Food-Church_DG__114,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,I'm not sure that they will even come.,I no sure sey dem go even come sef.,ABJ_GWA_02_Market-Food-Church_DG__115,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Haha.,Haha.,ABJ_GWA_02_Market-Food-Church_DG__116,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"Ma'am, I want you and me to go to the market next market day.","Madam, I wan make me, and you go market next market day.",ABJ_GWA_02_Market-Food-Church_DG__117,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Okay!,Okay!,ABJ_GWA_02_Market-Food-Church_DG__118,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Gwagwalada Market or Kwali?,"Gwagwalada Market, abi Kwali?",ABJ_GWA_02_Market-Food-Church_DG__119,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,First we'll go to Kw-...,We go first go Kw-...,ABJ_GWA_02_Market-Food-Church_DG__120,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,What day is Kwali Market?,Which day be Kwali market?,ABJ_GWA_02_Market-Food-Church_DG__121,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"Hm, it's tomorrow.",Hm na tomorrow.,ABJ_GWA_02_Market-Food-Church_DG__122,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Tomorrow?,Tomorrow?,ABJ_GWA_02_Market-Food-Church_DG__123,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Uhuh!,Ehn!,ABJ_GWA_02_Market-Food-Church_DG__124,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"Ah, we'll try to go.",Ah we go try go o.,ABJ_GWA_02_Market-Food-Church_DG__125,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,What do you want to go buy?,Wetin you wan go buy now?,ABJ_GWA_02_Market-Food-Church_DG__126,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,There are some kind...,E get some kind...,ABJ_GWA_02_Market-Food-Church_DG__127,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,I want to go buy my shop items.,I wan go buy shop tins.,ABJ_GWA_02_Market-Food-Church_DG__128,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,There are some things that I need in my shop.,Mtschew e get some kind tins wey I need for my shop.,ABJ_GWA_02_Market-Food-Church_DG__129,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,I want you and me to go.,"I wan make me, and you go.",ABJ_GWA_02_Market-Food-Church_DG__130,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Like what?,Like what?,ABJ_GWA_02_Market-Food-Church_DG__131,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Like shampoo...,Like shampoo.,ABJ_GWA_02_Market-Food-Church_DG__132,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Because you won't see provisions there.,Because you no go see provision dere o.,ABJ_GWA_02_Market-Food-Church_DG__133,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,It's true.,Eh na true o.,ABJ_GWA_02_Market-Food-Church_DG__134,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Will I see shampoo and attach?,"I fit see shampoo, and attach ba?",ABJ_GWA_02_Market-Food-Church_DG__135,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"My sister, you won't see any.","My sister, you no go see o!",ABJ_GWA_02_Market-Food-Church_DG__136,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
